SOLICITATIONNUM,DOCUMENTNUM,DOCUMENTTYPE,DOCNAME,DOCSIZE,GUID,SOURCE,RECEIPTDATE,ACTIVE,REC_CREATED_DATE,REC_UPDATED_DATE,DCS_LOAD_DATE,OBJECTID
DCKA-2022-R-0002,,Amendment 7,DCKA-2022-R-0002_Amd7.pdf,411 KB,{402BA87C-0000-CC15-A54D-B3D9E4CD8703},PASS,1634702400000,1,1634702400000,,1634702400000,71
DCKA-2021-B-0078,,Amendment 2,DCKA-2021-B-0078_Amd2.pdf,220 KB,{905D0A7D-0000-CA1E-AC91-90B996C77F92},PASS,1636520400000,1,1636520400000,,1636520400000,72
DCRL-2022-H-0110,,Attachment 1,DCRL-2022-H-0110_Att1.pdf,"1,023 KB",{30CEA581-0100-C57D-91C0-77E3A74F0A9B},PASS,1653969600000,1,1653969600000,,1653969600000,73
DCBD-2023-R-0001,,amendment2,DCBD-2023-R-0001_Amd2.pdf,198 KB,{C0419785-0000-C41A-948F-9DCEE549E5F7},PASS,1672894800000,1,1672894800000,,1672894800000,74
DCKA-2023-B-0006,,amendment5,DCKA-2023-B-0006_Amd5.pdf,327 KB,{B0409785-0000-CE17-A978-4E07A847A612},PASS,1672894800000,1,1672894800000,,1672894800000,75
DCBD-2023-R-0001,,amendment1,DCBD-2023-R-0001_Amd1.pdf,158 KB,{A03D9785-0000-C91B-BF34-776A2FAFA688},PASS,1672376400000,1,1672376400000,,1672376400000,76
DCEB-2023-R-0003,,Amendment 2,DCEB-2023-R-0003_Amd2.pdf,221 KB,{D05C9B88-0000-C313-955D-0B8C015BCF19},PASS,1686196800000,1,1686196800000,,1686196800000,77
DCKA-2023-B-0042,,Attachement 4,DCKA-2023-B-0042_Att4.pdf,137.7 MB,{B0D09C88-0000-C710-9560-322E31C60D13},PASS,1686196800000,1,1686196800000,,1686196800000,78
DCKA-2023-B-0042,,Amendment 3,DCKA-2023-B-0042_Amd3.pdf,212 KB,{60CF9C88-0000-C619-99C8-1B045AF1E5DA},PASS,1686196800000,1,1686196800000,,1686196800000,79
DCKA-2023-B-0042,,Attachement 3,DCKA-2023-B-0042_Att3.pdf,879 KB,{C0CD9C88-0000-C414-BFA2-E75607723409},PASS,1686196800000,1,1686196800000,,1686196800000,80
DCKA-2023-B-0042,,Attachement 6,DCKA-2023-B-0042_Att6.ebsx,7 KB,{C0CC9C88-0000-C617-855C-EC2B9CB194BA},PASS,1686196800000,1,1686196800000,,1686196800000,81
DCKA-2023-B-0042,,Attachement 5,DCKA-2023-B-0042_Att5.pdf,45 KB,{D0CA9C88-0000-C712-B542-7B09ABD1F835},PASS,1686196800000,1,1686196800000,,1686196800000,82
